x,y,timestamp
0.000000,0.000000,2023-01-01T03:30:43
0.000000,0.000000,2023-01-01T03:30:44
0.000000,0.000000,2023-01-01T03:30:45
0.000000,0.000000,2023-01-01T03:30:46
0.000000,0.000000,2023-01-01T03:30:47
0.000000,0.000000,2023-01-01T03:30:48
0.000000,-0.111195,2023-01-01T03:30:49
0.000000,-0.111195,2023-01-01T03:30:50
0.000000,-0.111195,2023-01-01T03:30:51
0.000000,-0.111195,2023-01-01T03:30:52
0.000000,-0.111195,2023-01-01T03:30:53
0.000000,-0.111195,2023-01-01T03:30:54
0.000000,-0.111195,2023-01-01T03:30:55
0.000000,-0.111195,2023-01-01T03:30:56
0.000000,-0.111195,2023-01-01T03:30:57
0.000000,-0.111195,2023-01-01T03:30:58
0.000000,-0.111195,2023-01-01T03:30:59
0.000000,-0.111195,2023-01-01T03:31:00
0.000000,-0.111195,2023-01-01T03:31:01
0.000000,-0.111195,2023-01-01T03:31:02
0.000000,-0.111195,2023-01-01T03:31:03
0.000000,-0.111195,2023-01-01T03:31:04
0.000000,-0.111195,2023-01-01T03:31:05
-0.111192,-0.111195,2023-01-01T03:31:06
-0.111192,-0.111195,2023-01-01T03:31:07
-0.111192,-0.111195,2023-01-01T03:31:08
-0.111192,-0.111195,2023-01-01T03:31:09
-0.111192,-0.111195,2023-01-01T03:31:10
-0.111192,-0.111195,2023-01-01T03:31:11
-0.111192,-0.111195,2023-01-01T03:31:12
-0.111192,-0.111195,2023-01-01T03:31:13
-0.111192,-0.111195,2023-01-01T03:31:14
-0.222385,-0.111195,2023-01-01T03:31:15
-0.222385,-0.111195,2023-01-01T03:31:16
-0.222385,-0.111195,2023-01-01T03:31:17
-0.222385,-0.111195,2023-01-01T03:31:18
-0.222385,-0.111195,2023-01-01T03:31:19
-0.222385,-0.111195,2023-01-01T03:31:20
-0.222385,-0.111195,2023-01-01T03:31:21
-0.222385,-0.111195,2023-01-01T03:31:22
-0.222385,0.000000,2023-01-01T03:31:23
-0.333577,0.000000,2023-01-01T03:31:24
-0.333577,0.000000,2023-01-01T03:31:25
-0.333577,0.000000,2023-01-01T03:31:26
-0.333577,0.000000,2023-01-01T03:31:27
-0.333577,0.000000,2023-01-01T03:31:28
-0.333577,0.000000,2023-01-01T03:31:29
-0.333577,0.000000,2023-01-01T03:31:30
-0.333577,0.000000,2023-01-01T03:31:31
-0.333577,0.000000,2023-01-01T03:31:32
-0.333577,0.000000,2023-01-01T03:31:33
-0.333577,0.000000,2023-01-01T03:31:34
-0.444769,0.000000,2023-01-01T03:31:35
-0.444769,0.000000,2023-01-01T03:31:36
-0.444769,0.000000,2023-01-01T03:31:37
-0.444769,0.000000,2023-01-01T03:31:38
-0.444769,0.000000,2023-01-01T03:31:39
-0.444769,0.000000,2023-01-01T03:31:40
-0.444769,0.000000,2023-01-01T03:31:41
-0.444769,0.000000,2023-01-01T03:31:42
-0.555961,0.000000,2023-01-01T03:31:43
